"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11730","Login test @regression, @master","chromium","2026-07-23","failed","2026-07-23","","TC_002_Login.spec.ts","",""
"","15929","Registration test @sanity, @master","chromium","2026-07-23","passed","2026-07-23","","TC_001_Reg.spec.ts","",""
